,unit,1,2,3,4,5,6,7,8
Atmospheric CO2,kg,58288290.661688037,43528107.782094993,50398859.451757707,48695638.956224732,34545617.013357729,39450332.077910721,36997974.545634218,41620627.984791227
Methane (CH4),g,64977148.010696597,142052524.60716832,57428176.652265064,55697280.84190017,514360.94068886532,318573424.51712096,159543892.7289049,28105820.891294517
Nitrous Oxide(N2O),g,209496.61260280784,1458494.6055970639,169776.82791845108,170699.22172626111,551822.68811485195,195502.03240447305,373662.36025966256,361260.95492055657
Primary PM2.5 - Elemental Carbon,g,49307.605308304985,4399.6970389895714,34622.074395310141,33253.903703049276,0.0,0.0,0.0,16626.951851524638
CO2 Equivalent,metric tonnes,59719.849685945555,46977.929072636594,51659.179746389178,49919.905604857042,34733.001853308946,46202.934643139699,40467.968248224322,42326.453729082998
Carbon Monoxide(CO),kg,45332.747293385553,359221.87971478782,14074.272926337591,13078.900752767287,30419.359437828116,10232.489722219332,20325.924580023726,21749.1300952977
Volatile Organic Compounds,kg,6509.2793075450381,3832.1285120846187,5608.8316179039621,5525.1709784580135,643.12511979409214,4474.0464123620495,2558.5857660780712,3084.1480491260531
Oxides of Nitrogen(NOx),kg,106900.68908156265,114533.76094738182,47101.876555379364,43362.250629188922,25609.38244617642,28943.994228019459,27276.688337097938,34485.816537682673
Primary Exhaust PM10 - Total,kg,4798.3125323931908,5316.7364471861911,4148.2665924263329,4010.6240828022715,3151.3354109151178,15414.70698215335,9283.0211965342332,3580.9797468586944
Primary Exhaust PM2.5 - Total,kg,2932.9236922097352,1822.6351764420738,2496.3737468457862,2412.4676227382542,1722.660469984279,7776.7200792946951,4749.6902746394871,2067.5640463612667
Sulphur Dioxide (SO2),kg,16029.840200621888,17266.271062356125,14223.363706385333,13761.428552078436,115568.61773151258,29528.209438269612,72548.413584891096,64665.023141795515
