sourceTypeID,beginModelYearID,endModelYearID,rollingTermA,rotatingTermB,dragTermC,sourceMass,fixedMassFactor
21,1960,2050,0.156461,0.00200193,0.000492646,1.4788,1.4788
31,1960,2050,0.22112,0.00283757,0.000698282,1.86686,1.86686
32,1960,2050,0.235008,0.00303859,0.000747753,2.05979,2.05979
11,1960,2050,0.0251,0,0.000315,0.285,0.285
62,2014,2050,1.47389,0,0.00368164,24.4196,17.1
61,2014,2050,1.43052,0,0.00379274,22.8289,17.1
54,2014,2050,0.655376,0,0.00210545,7.52572,17.1
53,2014,2050,0.529399,0,0.00147383,6.98448,17.1
43,1960,2013,0.746718,0,0.00217584,9.06989,17.1
42,1960,2013,1.0944,0,0.00358702,16.556,17.1
41,1960,2013,1.29515,0,0.00371491,19.5937,17.1
52,2014,2050,0.596526,0,0.00160302,8.53896,17.1
51,2014,2050,1.50429,0,0.00357228,23.1135,17.1
62,1960,2013,1.63041,0,0.00418844,24.601,17.1
61,1960,2013,1.53819,0,0.00403054,22.9745,17.1
54,1960,2013,0.68987,0,0.00210545,7.52572,17.1
53,1960,2013,0.557262,0,0.00147383,6.98448,17.1
43,2014,2050,0.709382,0,0.00217584,9.06989,17.1
42,2014,2050,1.03968,0,0.00358702,16.556,17.1
41,2014,2050,1.23039,0,0.00371491,19.5937,17.1
52,1960,2013,0.627922,0,0.00160302,8.53896,17.1
51,1960,2013,1.58346,0,0.00357228,23.1135,17.1
